stt,question,answer
14,"Khi xếp mẫu nguyên trạng vào hòm cần phải thực hiện và tuân thủ các bước
sau:
a. Xếp mẫu vào hòm sao cho các mẫu được xếp chặt sít để tăng khối lượng
mẫu trong một hòm
b. Xếp mẫu vào hòm phải chèn các khoảng trống giữa các mẫu bằng mùn cưa
ẩm, vỏ bào hay vật liệu có tính chất tương tự sao cho chặt khít
c. Xếp mẫu vào hòm phải chèn bằng mùn cưa ẩm, vỏ bào hay vật liệu có tính
chất tương tự sao cho chặt khít. Mẫu đặt cách nhau 2-3 cm và cách thành hòm
3-4 cm, dưới mẫu để bảng thống kê mẫu, đánh số hòm, ghi địa chỉ người gửi,
người nhận, đánh các ký hiệu và ghi chú cần thiết để bảo vệ hòm mẫu
d. Xếp mẫu vào hòm phải chèn chặt. Mẫu đặt cách nhau 2-3 cm và cách thành
hòm 3-4 cm, dưới mẫu để bảng thống kê mẫu, ghi địa chỉ người gửi, người
nhận.",C 
15,"Khi chọn phương pháp khoan khảo sát địa chất công trình cần phải đáp ứng
được các yêu cầu chủ yếu nào:
a. Cho phép xác định được chính xác địa tầng, lấy được các loại mẫu thí
nghiệm và tiến hành thí nghiệm trong hố khoan theo yêu cầu; đảm bảo yêu cầu
kỹ thuật và an toàn lao động.
b. Đạt tiến độ nhanh, năng suất khoan cao, chi phí vật tư thấp; đảm bảo yêu cầu
kỹ thuật và an toàn lao động.
c. Phát hiện chính xác địa tầng, lấy được các loại mẫu thí nghiệm và tiến hành
thí nghiệm trong hố khoan theo yêu cầu; đạt năng suất khoan cao, hao phí vật
tư ít và tiến độ nhanh; đảm bảo yêu cầu kỹ thuật và an toàn lao động.
d. Cho phép xác định được chính xác địa tầng, lấy được các loại mẫu thí
nghiệm và tiến hành thí nghiệm trong hố khoan theo yêu cầu.",C 
16,"Kết quả thí nghiệm xuyên tĩnh cho phép giải quyết các nhiệm vụ gì của công
tác khảo sát địa chất công trình:
a. Phân chia địa tầng và đánh giá được mức độ đồng nhất của đất đá.
b. Xác định được độ chặt của đất loại cát
c. Xác định một số đặc trưng cơ lý của đất và kết hợp với tài liệu khác để phân
loại đất, sử dụng để thiêt kế móng nông và xác định sức chịu tải của cọc.
d. Gỉải quyết được tất cả các nhiệm vụ như các phương án nêu",D 
17,"Những nội dung công việc cần thực hiện trước khi tiến hành lấy mẫu nước
trong hố khoan:
a. Lắp đặt nhiệt kế ngay trong chai mẫu để đo nhiệt độ nước; đo nhiệt độ
không khí tại thời điểm lấy mẫu
b. Rửa sạch, lắp ráp và kiểm tra sự hoạt động của dụng cụ lấy mẫu.
c. Thả dụng cụ lấy mẫu nước vào lỗ khoan để lấy nước và tráng dụng cụ lấy
mẫu
d. Theo tất cả nội dung trong các phương án nêu",D 
18,"Tất cả các lỗ khoan sau khi khoan xong đều phải được thực hiện công tác
nghiệm thu gồm các nội dung sau:
a. Nghiệm thu theo các nhiệm vụ kỹ thuật đã được quy định trong phương án
kỹ thuật khoan.
b. Nghiệm thu vị trí, cao độ và độ sâu khoan
c. Nghiệm thu các nội dung ghi chép trong nhật ký khoan, sổ kỹ thuật và các
văn bản khác
d. Nghiệm thu vị trí, cao độ và độ sâu khoan, các loại mẫu lấy, các nhiệm vụ kỹ
thuật đã được quy định trong phương án kỹ thuật khoan, các nội dung ghi chép
trong nhật ký khoan, sổ kỹ thuật và các văn bản khác",D 
19,"Theo tiêu chuẩn (TCVN 9156:2012), khi đo vẽ và thành lập bản đồ địa chất
công trình phục vụ công tác xây dựng, các đơn vị đất đá được phân chia thành
những đơn vị nào trong các phương án sau:
a. Thành hệ, phức hệ địa chất nguồn gốc, kiểu thạch học, kiểu địa chất công
trình
b. Điệp thạch học, Phức hệ thạch học, kiểu thạch học, kiểu địa chất công trình
c. Thành hệ, Phức hệ thạch học, kiểu thạch học, kiểu địa chất công trình
d. Phức hệ địa chất, phức hệ thạch học, kiểu thạch học, kiểu địa chất công trình",B 
20,"Theo tiêu chuẩn phân vùng địa chất công trình được áp dụng trong tiêu chuẩn
(TCVN 9156:2012), người ta chia thành mấy đơn vị phân vùng và tên các đơn
vị:
a. 3 đơn vị phân vùng gồm: vùng, khu, khoảnh
b. 5 đơn vị phân vùng gồm: miền, vùng, phụ vùng, khu, khoảnh
c. 4 đơn vị phân vùng gồm: miền, vùng, khu, khoảnh
d. 6 đơn vị phân vùng gồm: miền, phụ miền, vùng, phụ vùng, khu, khoảnh",C 
21,"Mật độ điểm nghiên cứu (số điểm quan sát và công trình thăm dò trên 1 km2)
khi đo vẽ thành lập bản đồ địa chất công trình (ĐCCT) phụ thuộc những yếu tố
nào trong các phương án dưới đây:
a. Tỷ lệ đo vẽ ĐCCT, mức độ xuất lộ, nguồn tài liệu lưu trữ thu thập được
b. Tỷ lệ đo vẽ (ĐCCT) và tầm quan trọng của công trình
c. Mức độ phức tạp về điều kiện ĐCCT, nguồn tài liệu lưu trữ thu thập được và
mức độ xuất lộ
d. Tỷ lệ đo vẽ ĐCCT, mức độ phức tạp về điều kiện ĐCCT và chất lượng lộ
của điểm quan sát",D 
22,"Thí nghiệm ép nước để nghiên cứu tính thấm của đất đá thực hiện với áp lực
tiêu chuẩn và thời gian kéo dài sau khi đạt lưu lượng ổn định là trường hợp nào
trong các phương án dưới đây:
a. 15 m cột nước và tiến hành cho tới khi lưu lượng ổn định trong thời gian 30
phút
b. 10 m cột nước và tiến hành cho tới khi lưu lượng ổn định trong thời gian 15
phút
c. 10 m cột nước và tiến hành cho tới khi lưu lượng ổn định trong thời gian 30
phút
d. 20 m cột nước và tiến hành cho tới khi lưu lượng ổn định trong thời gian 30
phút",C 
23,"Những đơn vị đất đá phân chia nào quy định được thể hiện trên bản đồ địa chất
công trình tỷ lệ 1: 2000 và 1: 1000 trong các phương án dưới đây:
a. Phức hệ thạch học và kiểu thạch học
b. Điệp thạch học và kiểu địa chất công trình
c. Điệp thạch học và phức hệ thạch học
d. Phức hệ thạch học, kiểu thạch học và kiểu địa chất công trình",D 
24,"Ma sát âm xuất hiện xung quanh cọc ma sát trong trường hợp nào dưới đây:
a. Đất đá xung quanh cọc có tốc độ lún nhỏ hơn tốc độ lún của mũi cọc
b. Tốc độ lún của đất xung quanh cọc lớn hơn tốc độ lún của mũi cọc
c. Tốc độ lún của đất xung quanh cọc tương đương tốc độ lún của mũi cọc
d. Đất xung quanh cọc không lún mà chỉ có đất ở mũi cọc lún",B 
25,"Trong thí nghiệm ép nước theo phương pháp Lugeon, đơn vị Lugeon được hiểu
như thế nào:
a. Lưu lượng tiêu hao trong 1 phút, trên 1 m đoạn ép, dưới áp lực 100 m cột
nước
b. Lưu lượng tiêu hao trong 1 phút, trên 1 m chiều dài đoạn ép, dưới áp lực 10
m cột nước
c. Lưu lượng nước tiêu hao trong 1 phút, trên 1 m chiều dài đoạn ép, dưới áp
lực 50 m cột nước
d. Lưu lượng nước tiêu hao trong 1 phút, trên chiều dài đoạn ép trong lỗ khoan
thí nghiệm, dưới áp lực 100 m cột nước",A 
26,"Hiện tượng carst chỉ có thể phát triển khi phải hội đủ những điều kiện nào:
a. Đá phải có tính hòa tan; nước phải có tính hòa tan và đá phải nứt nẻ
b. Đá phải có tính hòa tan; nước phải có tính hòa tan
c. Đá phải nứt nẻ, có tính thấm nước, nước có khả năng vận động
d. Phương án b và c",B 
27,"Hiện tượng carst phát triển theo những quy luật nào:
a. Phát triển giảm dần theo chiều sâu
b. Phát triển mạnh hơn ở khu vực đường phân thủy và yếu hơn ở gần thung
lũng sông
c. Phát triển mạnh hơn ở gần thung lũng sông và yếu hơn ở khu vực đường
phân thủy
d. Phương án a và c",D 
28,"Nếu gọi γc là khối lượng thể tích đơn vị đất khô và γ là khối lượng thể tích đơn
vị, thì độ chặt của đất (hệ số đầm chặt) được hiểu là:
a. Tỷ số giữa γc thí nghiệm ở hiện trường và γc max của cùng loại đất thí
nghiệm trong phòng.
b. Tỷ số giữa γ thí nghiệm ở hiện trường và γc max của cùng loại đất thí
nghiệm trong phòng.
c. Tỷ số giữa γ thí nghiệm ở hiện trường và γmax của cùng loại đất thí nghiệm
trong phòng.
d. Tỷ số giữa γc thí nghiệm ở hiện trường và γmax của cùng loại đất thí
nghiệm phòng.",A 
29,"Những chỉ tiêu nào cho phép đánh giá trực tiếp mức độ nén lún và biến dạng
của đất:
a. Áp lực tiền cố kết (Pc), chỉ số nén (Cc)
b. Hệ số cố kết (Cv), Hệ số nén lún (a),
c. Hệ số nén lún (a), chỉ số nén (Cc. và mô đun biến dạng (E)
d. Hệ số quá cố kết (OCR), mô đun biến dạng (E)",C 
30,"Trong các biểu đồ quan hệ lập từ kết quả thí nghiệm nén tĩnh cọc, biểu đồ quan
hệ nào được sử dụng để trực tiếp xác định sức chịu tải giới hạn của cọc:
a. Biểu đồ quan hệ chuyển vị - tải trọng - thời gian
b. Biểu đồ quan hệ tải trọng - chuyển vị
c. Biểu đồ quan hệ chuyển vị - thời gian của các cấp gia tải
d. Biểu đồ quan hệ tải trọng - thời gian",B 
31,"Độ ẩm giới hạn chảy có thể được xác định bằng những phương pháp nào:
a. Lăn đất thành que đường kính 3mm và bề mặt bắt đầu bị rạn nứt và đưa đi
xác định độ ẩm
b. Xác định bằng quả dọi thăng bằng, sau đó mang đi xác định độ ẩm
c. Xác định theo phương pháp Casagrande, sau đó mang đi xác định độ ẩm
d. Phương án b và c, nhưng kết quả được sử dụng khác nhau",D 
32,"Độ ẩm giới hạn dẻo được xác định bằng phương pháp nào:
a. Phương pháp Casagrande, sau đó mang đất đi xác định độ ẩm
b. Xác định bằng quả dọi thăng bằng, sau đó mang đất đi xác định độ ẩm
c. Lăn đất thành que đường kính 3mm và bề mặt bắt đầu bị rạn nứt và đưa đi
xác định độ ẩm
d. Theo phương pháp quả dọi thăng bằng và Casagrade, sau đó mang đi xác
định độ ẩm",C 
33,"Hiểu thế nào là khối lượng thể tích tự nhiên của đất:
a. Là khối lượng của một đơn vị thể tích đất ở trạng thái khô gió
b. Là khối lượng của một đơn vị thể tích đất chỉ có phần hạt rắn
c. Là khối lượng của một đơn vị thể tích đất có kết cấu và độ ẩm tự nhiên
d. Là khối lượng của một đơn vị thể tích đất có độ ẩm tự nhiên",C 
34,"Hiểu thế nào là khối lượng thể tích của cốt đất (Khối lượng thể tích khô):
a. Là khối lượng của một đơn vị thể tích đất ở trạng thái khô gió
b. Là khối lượng của một đơn vị thể tích đất chỉ có phần hạt rắn
c. Là khối lượng của một đơn vị thể tích đất có kết cấu và độ ẩm tự nhiên
d. Là khối lượng của một đơn vị thể tích đất khô, có kết cấu tự nhiên",D 
35,"Trong phòng thí nghiệm, phương pháp xác định khối lượng thể tích bằng dao
vòng thường được sử dụng cho loại đất nào:
a. Đất cát lẫn sỏi sạn nhỏ
b. Đất loại sét dễ cắt gọt bằng dao, dễ lấy vào dao vòng mà không làm sứt mẻ
mẫu
c. Đất loại sét lẫn nhiều hạt nhỏ hơn 5mm, khi cho vào dao vòng dễ vỡ vụn
nhưng đất có thể giữ nguyên được ở dạng cục
d. Đất than bùn, đất có nhiều tàn tích thực vật",B 
36,"Trong phòng thí nghiệm, phương pháp xác định khối lượng thể tích bằng bọc
sáp thường được sử dụng cho loại đất nào:
a. Đất loại sét lẫn nhiều hạt nhỏ hơn 5mm, khi cho vào dao vòng dễ vỡ vụn
nhưng đất có thể giữ nguyên được ở dạng cục
b. Đất loại sét dễ cắt gọt bằng dao, dễ lấy vào dao vòng mà không làm sứt mẻ
mẫu
c. Đất than bùn, đất có nhiều tàn tích thực vật
d. Đất cát lẫn sỏi sạn nhỏ",A 
37,"Hiểu thế nào là khối lượng riêng của đất:
a. Là khối lượng của một đơn vị thể tích hạt đất xếp chặt vào nhau
b. Là khối lượng của một đơn vị thể tích đất khô
c. Là khối lượng của một đơn vị thể tích phần hạt cứng, khô tuyệt đối, xếp chặt
sít không có lỗ hổng
d. Là khối lượng của một đơn vị thể tích đất không nguyên dạng",C 
38,"Khối lượng riêng của đất được xác định bằng phương pháp bình tỷ trọng, tiến
hành đồng thời với hai thí nghiệm và lấy giá trị trung bình khi chênh lệch giữa
hai kết quả không quá:
a. 0,01 g/cm3
b. 0,03 g/cm3
c. 0,02 g/cm3
d. 0,05 g/cm3",C 
39,"Hiểu thế nào là độ ẩm của đất:
a. Là tỷ số giữa khối lượng nước trong đất và khối lượng mẫu đất có kết cấu
phá hủy
b. Là tỷ số giữa khối lượng nước trong đất và khối lượng khô của đất
c. Là tỷ số giữa khối lượng nước trong đất và khối lượng mẫu đất ở trạng thái
nguyên trạng
d. Là tỷ số giữa khối lượng nước trong đất kể cả nước liên kết mặt ngoài và
khối lượng khô của đất",B 
40,"Độ ẩm của đất được xác định bằng phương pháp sấy khô và tiến hành đồng
thời trên hai mẫu thử trong cùng điều kiện, lấy kết quả trung bình khi giữa hai
lần thí nghiệm chênh lệch nhau không quá:
a. 2 %
b. 1 %
c. 3 %
d. 4 %",A 
41,"Lượng mất nước đơn vị hay còn gọi là tỷ lưu lượng hấp thu nước đơn vị được
xác định như thế nào:
a. Là lưu lượng tiêu hao trong 1 phút trên 1 m chiều dài đoạn ép dưới áp lực 10
m cột nước
b. Là lưu lượng nước tiêu hao trong 1 phút, trên 1 m chiều dài đoạn ép dưới áp
lực 1 m cột nước
c. Là lưu lượng nước tiêu hao trong 1 phút, trên chiều dài đoạn ép dưới áp lực
1 m cột nước
d. Là lưu lượng tiêu hao trong 1 phút trên 1 m chiều dài đoạn ép dưới áp lực
100 m cột nước",B 
42,"Khi tiến hành thí nghiệm xuyên tiêu chuẩn (SPT), người ta đóng 3 hiệp, mỗi
hiệp sâu 15 cm. giá trị xuyên tiêu chuẩn được xác định như thế nào:
a. Bằng tổng số búa của cả 3 hiệp xuyên
b. Bằng tổng số búa của hai hiệp đầu tiên
c. Bằng tổng số búa của hai hiệp sau cùng
d. Bằng số búa của hiệp xuyên cuối cùng",C 
43,"Tài liệu thí nghiêm xuyên tiêu chuẩn (SPT) cho phép giải quyết được những
nhiệm vụ gì trong khảo sát địa chất công trình:
a. Mô tả đất đá và phân chia địa tầng
b. Đánh giá độ chặt của đất rời và khả năng hóa lỏng của nó, đánh giá trạng
thái của đất loại sét
c. Xác định được một số chỉ tiêu cơ lý của đất nền và thiết kế móng nông cũng
như xác định sức chịu tải của móng cọc
d. Cả ba phương án a, b, c.",D 
44,"Thí nghiệm hiện trường bằng tải trọng tĩnh ép dọc trục cọc (Thí nghiệm nén
tĩnh cọc. nhằm xác định chỉ tiêu gì:
a. Cường độ của đất nền ở mũi và thân cọc
b. Khả năng chịu lực của bản thân cọc
c. Tải trọng lớn nhất của cọc chịu được thời điểm phá hoại được xác định theo
giới hạn quy ước
d. Sức kháng đầu mũi của cọc",C 
45,"Số lượng cọc thí nghiệm nén tĩnh phụ thuộc mức độ quan trọng của công trình,
mức độ phức tạp của điều kiện đất nền, loại cọc và chất lượng thi công, thường
được lấy bằng:
a. 0,5 % tổng số cọc của công trình nhưng không được ít hơn 2 cọc
b. 1 % tổng số cọc của công trình nhưng không được ít hơn 2 cọc
c. 2 % tổng số cọc của công trình nhưng không được ít hơn 2 cọc
d. 1,5 % tổng số cọc của công trình nhưng không được ít hơn 2 cọc",B 
46,"Khi thiết kế thí nghiệm nén tĩnh cọc để kiểm tra, tải trọng thí nghiệm lớn nhất
để thí nghiệm có thể lấy theo các trường hợp sau:
a. Từ 100 % đến 150 % tải trọng thiết kế của cọc
b. Từ 150 đến 250 % tải trọng thiết kế của cọc
c. Từ 100 đến 200 % tải trọng thiết kế của cọc
d. Từ 150 đến 200 % tải trọng thiết kế của cọc",D 
47,"Hiểu thế nào là sức kháng mũi côn (qc. của xuyên tĩnh:
a. Là tổng lực tác dụng để đưa toàn bộ cần xuyên và mũi xuyên đi vào trong
đất
b. Là lực tác dụng đưa mũi xuyên đi vào trong đất
c. Là lực tác dụng lên phần ống đo ma sát ở phần phía trên mũi xuyên
d. Là lực tác dụng đưa mũi côn vào đất (Qc. chia cho diện tích đáy mũi côn
(Ac)",D 
48,"Hiểu thế nào là ma sát thành đơn vị (fs) của xuyên tĩnh:
a. Là lực tác dụng lên phần ống đo ma sát (Qs) chia cho diện tích bề mặt ống
đo ma sát (Qs)
b. Là lực tác dụng lên toàn bộ bề mặt cần xuyên khi cần xuyên đi vào trong đất
c. Là lực tác dụng lên phần ống đo ma sát ở phần phía trên mũi xuyên
d. Là lực tác dụng để đưa toàn bộ phần mũi xuyên đi vào trong đất",A 
49,"Trong các biểu đồ quan hệ lập từ kết quả thí nghiệm nén tĩnh nền bằng tấm nén
phẳng, biểu đồ quan hệ nào được sử dụng để trực tiếp xác định mô đun biến
dạng:
a. Biểu đồ quan hệ độ lún - tải trọng - thời gian
b. Biểu đồ quan hệ độ lún - thời gian của các cấp gia tải
c. Biểu đồ quan hệ tải trọng - độ lún
d. Biểu đồ quan hệ tải trọng - thời gian",C 
50,"Phương pháp đổ nước thí nghiệm xác định hệ số thấm của A.K. Bôndưrep áp
dụng thích hợp cho đất đá nào và điều kiện cụ thể nào:
a. Đất sét có mặt lớp xuất lộ hoặc tại độ sâu không quá 1,5 m, có tính thấm nhỏ
b. Đất sét pha có mặt lớp xuất lộ hoặc độ sâu không quá 1,5 m, có tính thấm
nhỏ
c. Đất cát pha, cát mịn có mặt lớp lộ hoặc độ sâu không quá 1,5 m, có tính
thấm không lớn
d. Đất cát thô lẫn sỏi sạn hay đất sỏi sạn có mặt lớp lộ hoặc độ sâu không quá
1,5 m, có tính thấm tương đối lớn đến lớn",D 
51,"Phương pháp đổ nước thí nghiệm xác định hệ số thấm của N.X. Netxterop áp
dụng thích hợp cho đất đá nào và điều kiện cụ thể nào:
a. Cuội dăm sạn có mặt lớp xuất lộ hoặc sâu không quá 1,5 m, có tính thấm lớn
b. Đất hạt nhỏ và đất hạt mịn chứa nhiều sỏi sạn có mặt lớp xuất lộ hoặc sâu
không quá 1,5 m, không bão hòa, có tính thấm trung bình đến yếu
c. Đất hòn tảng có mặt lớp lộ hoặc sâu không quá 1,5 m, có tính thấm không
lớn
d. Sỏi sạn có mặt lớp lộ hoặc sâu không quá 1,5 m, có tính thấm tương đối lớn
đến lớn",B 
52,"Điều kiện áp dụng phương pháp đổ nước thí nghiệm trong lỗ khoan theo
phương pháp cột nước không đổi - Phương pháp V.M. Nasberg là:
a. Đáy đoạn đổ nước cao hơn mực nước ngầm hoặc mái tầng cách nước
khoảng (T) lớn hơn hoặc bằng chiều cao cột nước đổ (H) (T > H)
b. Chiều cao cột nước thí nghiệm (H) nằm trong phạm vi chiều dài đoạn đổ
nước (L) (H < L)
c. Tỷ số giữa cột nước (H) và bán kính của hố khoan đổ nước (r) nằm trong
khoảng 50 ≤ H/r ≤ 200
d. Cả ba phương án a, b, c.",D 
53,"Sản phẩm cuối cùng của công tác đo vẽ địa chất công trình là gì:
a. Bản đồ địa mạo khu vực nghiên cứu kèm theo thuyết minh
b. Bản đồ địa chất khu vực nghiên cứu kèm theo thuyết minh
c. Bản đồ địa chất công trình kèm theo thuyết minh
d. Bản đồ địa chất thủy văn kèm theo thuyết minh",C 
54,"Để thực hiện công tác đo vẽ thành lập bản đồ địa chất công trình, cần phải có
những giai đoạn công việc nào trong các phương án dưới đây:
a. Lập đề cương và dự toán của phương án; công tác chuẩn bị;
b. Công tác chuẩn bị; Công tác đo vẽ thực địa; Chỉnh lý tài liệu
c. Công tác thực địa; chỉnh lý tài liệu, lập bản đồ và viết thuyết minh.
d. Phương án a và c",D 
55,"Khi định vị vị trí lỗ khoan ngoài thực địa cần phải:
a. Ước lượng vị trí lỗ khoan ngoài thực địa
b. Bảo đảm đúng tọa độ vị trí lỗ khoan đã được quy định trong bản nhiệm vụ
khảo sát
c. Tuân theo các quy định của công tác đo đạc trong tiêu chuẩn liên quan
d. Phương án b và c",D 
56,"Trong trường hợp gặp khó khăn về địa hình, không thể khoan đúng vị trí đã
định và nếu không có quy định gì đặc biệt thì được phép dịch chuyển vị trí lỗ
khoan với khoảng cách bao nhiêu:
a. Tùy ý, miễn là thuận lợi cho công tác khoan
b. 0,5 đến 1 m tính từ vị trí lỗ khoan thiết kế, nhưng phải bảo đảm mục đích
thăm dò của lỗ khoan
c. 0,5 đến 3 m tính từ vị trí lỗ khoan thiết kế
d. 0,5 đến 1,5 m tính từ vị trí lỗ khoan thiết kế",B 
57,"Để xác định cao độ miệng lỗ khoan ngoài thực địa, cần phải dựa vào:
a. Địa hình thực tế để ước lượng cao độ
b. Cọc mốc cao độ; cọc định vị công trình có ghi cao độ hay mốc cao độ giả
định và xác định cao độ sau.
c. Lập mốc giả định tại khu vực xây dựng công trình và xác định cao độ theo
mốc này
d. Địa hình thực tế và mốc giả định để ước lượng cao độ",B 
58,"Trong quá trình khoan phải theo dõi, đo đạc và ghi chép đầy đủ những nội
dung:
a. Diễn biến trong quá trình khoan như: tốc độ khoan, hiện tượng tụt cần
khoan, lưu lượng và mầu sắc dung dịch…
b. Đo chiều sâu khoan và mô tả địa tầng, địa chất thủy văn.
c. Công tác lấy mẫu thí nghiệm; thí nghiệm SPT, cắt cánh…
d. Cả ba phương án a, b, c.",D 
59,"Khi khoan trong đất đá mềm yếu, dụng dung dịch sét có tác dụng gì:
a. Làm cho khoan trơn và dễ khoan hơn
b. Vận chuyển mùn khoan tốt hơn
c. Tác dụng chống sập lở thành lỗ khoan
d. Làm mát dụng cụ khoan tốt hơn",C 
60,"Đối với đất loại sét trạng thái dẻo chảy, chảy và bùn thường sử dụng những
loại ống mẫu nào để lấy mẫu nguyên trạng:
a. Ống mẫu nguyên trạng loại thường
b. Ống mẫu có van
c. Ống mẫu nòng đôi
d. Ống mẫu thành mỏng hay ống mẫu Pittong",D 
61,"Quy định về Phương án khảo sát địa kỹ thuật đầy đủ phải gồm những nội dung
nào:
a. Thành phần, khối lượng; yêu cầu kỹ thuật cần thực hiện;
b. Thành phần, khối lượng, tiến độ của công tác khảo sát cần thực hiện
c. Giải pháp tổ chức thực hiện; tiến độ và giá thành dự kiến
d. Phương án a và c",D 
