stt,question,answer
11,"Cá nhân nào không phải ký biên bản nghiệm thu công việc xây dựng?
a. Người trực tiếp giám sát thi công của chủ đầu tư.
b. Người trực tiếp thiết kế công trình.
c. Người trực tiếp phụ trách kỹ thuật thi công của nhà thầu thi công xây dựng
hoặc tổng thầu, nhà thầu chính.
d. Câu a và b.",B 
12,"Khi công trình xảy ra sự cố, chủ thể nào phải báo cáo cơ quan quản lý nhà
nước theo phân cấp?
a. Chủ đầu tư hoặc người quản lý sử dụng công trình.
b. Tổ chức tư vấn thiết kế.
c. Tổ chức tư vấn giám sát.
d. Nhà thầu thi công xây dựng.",A 
13,"Các khoản mục của dự toán chi phí xây dựng công trình gồm:
a. Chi phí xây dựng, chi phí thiết bị, chi phí tư vấn, chi phí quản lý dự án, chi
phí khác, chi phí dự phòng.
b. Chi phí trực tiếp, chi phí gián tiếp, thu nhập chịu thuế tính trước, thuế giá trị
gia tăng, chi phí dự phòng.
c. Chi phí trực tiếp, chi phí gián tiếp, thu nhập chịu thuế tính trước, thuế giá trị
gia tăng.
d. Chi phí vật liệu, chi phí nhân công, chi phí máy thi công, thu nhập chịu thuế
tính trước, thuế giá trị gia tăng.",C 
14,"Chi phí nào chỉ có trong tổng mức đầu tư mà không có trong tổng dự toán xây
dựng công trình:
a. Chi phí xây dựng.
b. Chi phí thiết bị.
c. Chi phí bồi thường, hỗ trợ và tái định cư.
d. Chi phí khác và dự phòng phí.",C 
15,"Một dự án có NPV = 0, vậy:
a. NFV > 0.
b. NFV = 0.
c. NFV < 0.
d. Chưa xác định.",B 
16,"Tìm câu trả lời sai - ""Dự án đầu tư xây dựng là cơ sở để…"":
a. Quyết định đầu tư xây dựng.
b. Bố trí kế hoạch vốn đầu tư.
c. Điều chỉnh quy hoạch xây dựng.
d. Xây dựng kế hoạch thực hiện đầu tư.",C 
17,"Vai trò của đầu tư xây dựng là:
a. Thúc đẩy tăng trưởng kinh tế.
b. Tăng cường khả năng công nghệ của đất nước.
c. Tác động chuyển dịch cơ cấu kinh tế.
d. Câu a, b và c.",D 
18,"Phân tích hiệu quả tài chính là việc đánh giá dự án trên góc độ của:
a. Chủ đầu tư.
b. Nhà thầu.
c. Nhà nước.
d. Tổ chức cho vay vốn.",A 
19,"Phân tích hiệu quả kinh tế - xã hội được tiến hành trên góc độ lợi ích của:
a. Chủ đầu tư.
b. Toàn bộ nền kinh tế.
c. Tổ chức cho vay vốn.
d. Tổ chức tài trợ.",B 
20,"Tất cả các dự án đều phải:
a. Thẩm định cả về phương diện hiệu quả tài chính và hiệu quả kinh tế - xã hội.
b. Đối với các dự án do doanh nghiệp đầu tư thì chỉ cần quan tâm đến hiệu quả
tài chính.
c. Đối với các dự án do Nhà nước đầu tư thì chỉ cần quan tâm đến hiệu quả
kinh tế - xã hội.
d. Không câu nào đúng.",A 
21,"Cấu trúc của một định mức dự toán xây dựng công trình gồm:
a. Tên công tác, thành phần công việc và hao phí định mức của các thành phần.
b. Tên công tác, thành phần công việc và phương pháp tính toán.
c. Định mức các thành phần hao phí và phương pháp tính toán.
d. Định mức các thành phần hao phí, phương pháp tính toán và thành phần
công việc.",A 
22,"Suất vốn đầu tư do Bộ Xây dựng công bố:
a. Thống nhất trên toàn quốc.
b. Đã bao gồm vốn lưu động ban đầu và lãi vay trong thời gian thực hiện đầu
tư xây dựng.
c. Chưa bao gồm vốn lưu động ban đầu và lãi vay trong thời gian thực hiện đầu
tư xây dựng.
d. Chưa có thuế giá trị gia tăng.",C 
23,"Định mức dự toán xây dựng công trình được:
a. Áp dụng riêng cho từng tỉnh/thành.
b. Thống nhất trên toàn quốc.
c. Theo yêu cầu của chủ đầu tư.
d. Theo yêu cầu của người quyết định đầu tư.",B 
24,"Việc thương thảo hợp đồng xây dựng phải dựa trên cơ sở:
a. Báo cáo đánh giá hồ sơ dự thầu của tổ chuyên gia.
b. Mẫu hợp đồng đã điền đầy đủ các thông tin cụ thể của gói thầu.
c. Các yêu cầu nêu trong hồ sơ mời thầu; hồ sơ dự thầu và các tài liệu giải
thích làm rõ hồ sơ mời thầu, hồ sơ dự thầu của nhà thầu (nếu có).
d. Các câu a, b và c.",D 
25,"Nội dung nào sau đây không có trong quản lý thực hiện hợp đồng xây dựng:
a. Quản lý tiến độ thực hiện hợp đồng; quản lý về chất lượng.
b. Quản lý khối lượng và giá hợp đồng.
c. Quản lý các bên liên quan.
d. Quản lý điều chỉnh hợp đồng và các nội dung khác của hợp đồng.",C 
26,"Giá hợp đồng trọn gói được điều chỉnh trong trường hợp:
a. Thay đổi phạm vi công việc phải thực hiện.
b. Trượt giá trong thời gian thực hiện hợp đồng.
c. Thay đổi khối lượng công việc.
d. Các câu a, b, và c.",A 
27,"Giá hợp đồng theo đơn giá cố định được tính toán đầy đủ cho yếu tố:
a. Thay đổi khối lượng công việc.
b. Trượt giá trong thời gian thực hiện hợp đồng.
c. Câu a hoặc b.
d. Câu a và b.",B 
28,"Thanh toán hợp đồng trọn gói được thực hiện trên cơ sở:
a. Theo đề nghị của bên nhận thầu.
b. Theo đề nghị của bên giao thầu.
c. Tỷ lệ phần trăm giá hợp đồng tương ứng với các giai đoạn thanh toán mà các
bên đã thỏa thuận trong hợp đồng.
d. Khối lượng thực tế hoàn thành được nghiệm thu của từng lần thanh toán.",C 
29,"Điều chỉnh hợp đồng xây dựng được áp dụng:
a. Trong thời gian thực hiện hợp đồng.
b. Trong thời gian thực hiện hợp đồng bao gồm cả thời gian được gia hạn thực
hiện hợp đồng theo quy định của pháp luật.
c. Trong thời gian thực hiện phạm vi công việc của hợp đồng.
d. Do thỏa thuận các bên về thời gian.",B 
30,"Tiến độ thực hiện dự án đầu tư xây dựng phụ thuộc vào các yếu tố nào dưới
đây?
a. Tổng thời gian thực hiện và các mốc thời gian phải hoàn thành đối với từng
công việc.
b. Nhóm dự án, cấp công trình.
c. Tổng mức đầu tư xây dựng.
d. Phạm vi công việc chi tiết của nhà thầu.",A 
31,"Việc giám sát thi công xây dựng được thực hiện vào thời điểm nào?
a. Giám sát vào giờ hành chính.
b. Chỉ cần giám sát các công tác chủ yếu, quan trọng.
c. Khi nào trên công trường diễn ra các hoạt động xây dựng.
d. Khi sắp nghiệm thu công tác xây dựng thì cần giám sát.",C 
32,"Những yêu cầu nào đối với công tác giám sát trong quá trình thi công xây dựng
công trình?
a. Giám sát thi công đúng thiết kế được phê duyệt, đúng tiêu chuẩn, quy chuẩn
áp dụng, quy định về quản lý, sử dụng vật liệu xây dựng, chỉ dẫn kỹ thuật và
hợp đồng xây dựng.
b. Giám sát theo đúng yêu cầu của chủ đầu tư.
c. Giám sát theo yêu cầu của Ban quản lý dự án.
d. Giám sát theo hướng dẫn của chuyên gia.",A 
33,"Quản lý rủi ro trong dự án đầu tư được thực hiện:
a. Trong suốt quá trình quản lý dự án.
b. Cho các công tác có nguy cơ gây ra thiệt hại lớn cho dự án.
c. Cho các công tác găng trên tiến độ dự án.
d. Theo yêu cầu của chủ đầu tư.",A 
34,"Trong các chỉ tiêu sau, chỉ tiêu nào là giá xây dựng tổng hợp bộ phận kết cấu
công trình?
a. 1.200 triệu đồng/1km cống tròn bê tông cốt thép đường kính 400.
b. 165 triệu đồng/học viên trường đại học, học viện, cao đẳng có số học viên
=< 1.000.
c. Câu a và b.
d. Không có chỉ tiêu nào là giá xây dựng tổng hợp bộ phận kết cấu công trình.",A 
35,"Trình tự nghiệm thu thiết bị đã lắp đặt gồm:
a. Nghiệm thu tĩnh - Nghiệm thu chạy thử không tải - Nghiệm thu chạy thử có
tải.
b. Nghiệm thu chạy thử không tải - Nghiệm thu chạy thử có tải - Nghiệm thu
tĩnh.
c. Nghiệm thu chạy thử có tải - Nghiệm thu chạy thử không tải - Nghiệm thu
tĩnh.
d. Theo yêu cầu của chủ đầu tư.",A 
36,"Nghiệm thu chạy thử không tải thiết bị công nghệ để làm gì?
a. Đánh giá chất lượng lắp đặt.
b. Đánh giá tình trạng thiết bị khi chạy không tải.
c. Phát hiện và loại trừ sai sót.
d. Câu a, b và c.",D 
37,"Nghiệm thu chạy thử không tải chỉ được đánh giá là đạt khi nào?
a. Đã chạy thử liên tục theo quy định.
b. Thông số dây chuyền phù hợp với thiết kế và công nghệ.
c. Không xảy ra sự cố kỹ thuật đáng kể.
d. Câu a, b và c.",D 
38,"Nghiệm thu thiết bị đã lắp đặt gồm các nội dung nào dưới đây?
a. Nghiệm thu tĩnh.
b. Nghiệm thu chạy thử không tải.
c. Nghiệm thu chạy thử có tải.
d. Câu a, b và c.",D 
39,"Trong tiến độ thi công xây dựng phải thể hiện rõ những nội dung gì?
a. Thời gian, thời điểm, vị trí các công việc được thực hiện.
b. Giá trị hợp đồng hoặc gói thầu.
c. Sử dụng lao động, máy móc, thiết bị và các tài nguyên khác để đảm bảo thực
hiện tiến độ.
d. Câu a và c.",D 
40,"Đo bóc khối lượng xây dựng từ bản vẽ thiết kế kỹ thuật, thiết kế bản vẽ thi
công để làm gì?
a. Xác định dự toán, lập bảng khối lượng trong hồ sơ mời thầu.
b. Xác định giá gói thầu, giá dự thầu.
c. Kiểm soát chi phí trong quá trình thi công và làm cơ sở cho việc thanh quyết
toán hợp đồng thi công xây dựng.
d. Câu a, b và c.",D 
41,"Các chi phí nào sau đây không được đưa vào quyết toán hợp đồng xây dựng?
a. Các chi phí phát sinh do điều chỉnh thiết kế xây dựng.
b. Các chi phí của các khối lượng phá đi làm lại do lỗi của nhà thầu.
c. Chi phí thiệt hại do nguyên nhân bất khả kháng theo quy định của pháp luật.
d. Câu a, b và c.",B 
42,"Công tác giám sát lắp đặt thiết bị công nghệ bao gồm các nội dung nào dưới
đây?
a. Giám sát trước lắp đặt.
b. Giám sát quá trình lắp đặt.
c. Giám sát quá trình thử nghiệm và nghiệm thu.
d. Câu a, b và c.",D 
43,"Chủ thể nào quyết định việc điều chỉnh dự án đầu tư xây dựng sử dụng nguồn
vốn khác?
a. Chủ đầu tư.
b. Người quyết định đầu tư.
c. Cơ quan quản lý nhà nước khu vực có dự án.
d. Đơn vị cấp phép xây dựng.",B 
44,"Cấp công trình được xác định theo các tiêu chí nào sau đây?
a. Kích thước (dài, rộng, cao) của công trình; tải trọng lớn nhất của công trình.
b. Quy mô kết cấu; tải trọng lớn nhất của công trình.
c. Mức độ quan trọng, quy mô công suất; quy mô kết cấu.
d. Quy mô kết cấu; kích thước (dài, rộng, cao) của công trình.",C 
45,"Các quan hệ công việc trong tiến độ gồm:
a. Kết thúc - bắt đầu; kết thúc - kết thúc.
b. Bắt đầu - bắt đầu; bắt đầu - kết thúc.
c. Câu a và b.
d. Câu a hoặc b.",C 
46,"Kiểm soát tiến độ sẽ ưu tiên cho các công tác:
a. Công tác có thời gian thực hiện dài.
b. Cho tất cả công tác.
c. Công tác găng.
d. Công tác không găng.",C 
47,"Chủ thể nào phải lập tiến độ chi tiết của gói thầu thi công xây dựng?
a. Chủ đầu tư.
b. Ban quản lý dự án.
c. Nhà thầu thi công xây dựng.
d. Câu a, b và c.",C 
48,"Chủ thể nào phải lập tiến độ tổng thể của dự án?
a. Chủ đầu tư hoặc ban quản lý dự án.
b. Nhà thầu.
c. Đơn vị tư vấn giám sát.
d. Đơn vị lập báo cáo nghiên cứu khả thi.",A 
49,"Chọn đáp án sai - Dự phòng phí cho yếu tố trượt giá trong tổng mức đầu tư phụ
thuộc vào:
a. Độ dài thời gian thực hiện dự án
b. Tiến độ phân bổ vốn
c. Mức độ biến động của vật tư.
d. Mức độ phức tạp của dự án.",D 
50,"Tính khả thi của dự án đầu tư gồm:
a. Tính hợp pháp và tính hợp lý.
b. Tính thực tiễn và tính hiệu quả.
c. Câu a hoặc b.
d. Câu a và b.",D 
51,"Ban quản lý dự án đầu tư xây dựng một dự án được thành lập do:
a. Cấp quyết định đầu tư khi phê duyệt dự án đầu tư
b. Cấp phê duyệt chủ trương đầu tư
c. Chủ đầu tư
d. Tất cả đáp án đều đúng",D 
52,"Đối với các dự án sử dụng vốn ngân sách nhà nước, mức tạm ứng hợp đồng tại
thời điểm ký kết (bao gồm cả dự phòng nếu có):
a. Không được vượt quá 40% giá trị hợp đồng
b. Thực hiện dự án
c. Kết thúc xây dựng đưa công trình của dự án vào khai thác sử dụng.
d. Tất cả đáp án đều đúng",C 
53,"Đối với các dự án sử dụng vốn ngân sách nhà nước, mức tạm ứng hợp đồng tại
thời điểm ký kết (bao gồm cả dự phòng nếu có):
a. Không được vượt quá 40% giá trị hợp đồng
b. Không được vượt quá 35% giá trị hợp đồng
c. Không được vượt quá 30% giá trị hợp đồng
d. Không có đáp án nào đúng",B 
54,"Khối lượng thi công xây dựng được tính toán, xác nhận giữa các chủ thể nào ?
a. Người giám sát thi công xây dựng của chủ đầu tư, nhà thầu thi công xây
dựng
b. Nhà thầu tư vấn thiết kế, nhà thầu thi công xây dựng
c. Chủ đầu tư, nhà thầu thi công xây dựng, tư vấn giám sát
d. Không có đáp án nào đúng",B 
55,"Thí nghiệm chuyên ngành xây dựng bao gồm các hoạt động đo lường xác định
đặc tính về cơ, lý, hóa, hình học của các lĩnh vực thí nghiệm bao gồm:
a. Vật liệu và sản phẩm vật liệu xây dựng
b. Kết cấu và cấu kiện xây dựng
c. Môi trường trong xây dựng; địa kỹ thuật; thí nghiệm hiện trường; thí nghiệm
khác.
d. Tất cả đáp án đều đúng",A 
56,"Nội dung nào dưới đây phải được chỉ rõ trong hồ sơ phương án cắm mốc chỉ
giới?
a. Số lượng, phương án định vị mốc cần cắm
b. Phương án huy động nhân lực, vật tư, vật liệu thi công cắm mốc
c. Tiến độ cắm mốc, bàn giao mốc, kinh phí thực hiện
d. Tất cả đáp án đều đúng",C 
57,"Nội dung nào dưới đây phải được chỉ rõ trong thông báo khởi công gửi cho cơ
quan quản lý nhà nước về xây dựng tại địa phương
a. Tên công trình
b. Địa điểm xây dựng
c. Qui mô xây dựng
d. Tất cả đáp án đều đúng",D 
58,"Nội dung nào sau đây cần phải quy định trong Hợp đồng xây dựng:
a. Số lần thanh toán
b. Giai đoạn thanh toán
c. Thời điểm thanh toán
d. Tất cả đáp án đều đúng",D 
59,"Nội dung nào sau đây thuộc giai đoạn chuẩn bị dự án
a. Khảo sát, lập Báo cáo nghiên cứu tiền khả thi
b. Khảo sát, lập Báo cáo nghiên cứu khả thi
c. Khảo sát, lập thiết kế kỹ thuật
d. Đáp án a, b đều đúng",D 
60,"Hợp đồng nào sau đây thuộc loại hợp đồng thi công xây dựng:
a. Hợp đồng cung cấp vật liệu xây dựng
b. Hợp đồng cung cấp nhân lực, máy và thiết bị thi công
c. Đáp án a và b đều đúng
d. Không có đáp án nào đúng",C 
61,"Hai phương án (A và B) của 1 dự án có tuổi thọ và vốn đầu tư như
nhau.Phương án A sẽ được chọn vì:
a. Thời gian hoàn vốn của A nhanh hơn của B
b. NPV của A lớn hơn của B
c. Chi phí vận hành hàng năm của A nhỏ hơn B
d. IRRA> IRRB> MARR",C 
62,"Có 2 phương án A và B với IRRB>IRRA>MARR, phương án được chọn là:
a. Phương án A
b. Phương án B
c. Chưa xác định
d. Cả phương án A và phương án B",C 
63,"Có 2 phương án A và B, vốn đầu tư ban đầu của B lớn hơn của A với
IRRB lớn hơn IRRA và IRRA nhỏ hơn MARR thì phương án được chọn là:
a. Phương án A
b. Phương án B
c. Cả Phương án A và B đều bị loại
d. Chưa xác định",D 
64,"Có 2 phương án có số vốn ban đầu bỏ ra bằng nhau, thu nhập hoàn vốn hàng
năm bằng nhau, khi đó:
a. Phương án có tuổi thọ dài hơn sẽ bị loại bỏ
b. Phương án có tuổi thọ dài hơn sẽ được chọn
c. Chưa xác định
d. Cả hai phương án đều bị loại bỏ",C 
65,"Trong phân tích kinh tế - xã hội của dự án đầu tư, thuế thu nhập doanh nghiệp:
a. Là một khoản do doanh nghiệp phải bỏ ra để nộp cho nhà nước nên phải tính
vào dòng chi.
b. Là một khoản mà Nhà nước và xã hội được hưởng từ doanh nghiệp nên
được tính vào dòng thu.
c. Không coi là chi phí cũng không được tính vào dòng thu
d. Không câu nào đúng",B 
66,"Đối với các dự án đầu tưphục vụ công cộng thì:
a. Phải đạt hiệu quả cao về mặt tài chính
b. Phải có hiệu quả về mặt kinh tế - xã hội
c. Phải đạt hiệu quả cả về tài chính và kinh tế - xã hội
d. Hoàn toàn không quan tâm đến hiệu quả về mặt tài chính",B 
67,"Một dự án có NPV = 0, vậy:
a. NFV > 0
b. NFV = 0
c. NFV < 0
d. Chưa xác định",B 
68,"Tìm câu trả lời sai đối với các đáp án dưới đây - Chỉ tiêu NPV có nhược điểm
là:
a. Phụ thuộc nhiều vào suất chiết khấu
b. Chưa nói lên được hiệu quả sử dụng của một đồng vốn
c. Không được sử dụng để lựa chọn các phương án/dự án loại bỏ nhau nếu tuổi
thọ khác nhau
d. Phải xác định rõ ràng dòng thu chi của dự án",C 
69,"Nội dung nào sau đây không phải là tác dụng của dự án đầu tư:
a. Là một phương án sản xuất kinh doanh hàng năm của doanh nghiệp.
b. Là cơ sở để xây dựng kế hoạch thực hiện đầu tư.
c. Là cơ sở để thẩm định và quyết định tài trợ vốn.
d. Là căn cứ đề nghị vay vốn, hưởng ưu đãi đầu tư.",A 
70,"Một dự án đầu tư có 3 phương án thực hiện, khi đó mối quan hệ giữa 3 phương
án sẽ là:
a. Phụ thuộc nhau
b. Độc lập với nhau
c. Loại trừ nhau
d. Bổ sung nhau",C 
71,"Vì sao phải có thiết kế cơ sở trong hồ sơ Báo cáo nghiên cứu khả thi:
a. Là cơ sở để quản lý dự án.
b. Không phải là cơ sở để lập Tổng mức đầu tư.
c. Là căn cứ để quyết định đầu tư xây dựng.
d. Là cơ sở để tiến hành lập Dự toán xây dựng công trình.",C 
72,"Tìm câu trả lời sai đối với các đáp án dưới đây: Dự án đầu tư có vai trò:
a. Là cơ sở để quyết định đầu tư xây dựng.
b. Là cơ sở để bố trí kế hoạch vốn đầu tư.
c. Là cơ sở đề điều chỉnh quy hoạch xây dựng.
d. Là cơ sở để xây dựng kế hoạch thực hiện đầu tư",C 
73,"Tìm câu trả lời sai: Dự án đầu tư có vai trò:
a. Là văn kiện cơ bản để người có thẩm quyền quyết định đầu tư xây dựng.
b. Là một bộ phận trong hợp đồng giữa chủ đầu tư và nhà thầu thi công xây
dựng
c. Là căn cứ để theo dõi đánh giá và điều chỉnh những tồn đọng, vướng mắc
trong quá trình thực hiện và khai thác dự án
d. Có tác dụng tích cực để giải quyết những vấn đề nảy sinh trong quan hệ giữa
các bên liên quan",B 
74,"Tìm câu trả lời sai. Suất thu lời nội tại IRR là:
a. Khả năng cho lãi của dự án
b. Lãi suất vay vốn đầu tư
c. Nếu dùng nó làm suất chiết khấu thì NPV=0
d. Là lãi suất cao nhất có thể vay vốn để đầu tư mà không bị lỗ",B 
75,"Tìm câu trả lời sai. Phân tích kinh tế - xã hội nhằm mục đích:
a. Đảm bảo cho lợi ích của chủ đầu tư không trái với lợi ích của Nhà nước và
xã hội
b. Thuyết phục cơ quan có thẩm quyền chấp nhận dự án
c. Tìm đối tác liên doanh
d. Tranh thủ sự ủng hộ của nhân dân và chính quyền địa phương",C 
76,"Doanh nghiệp thường chọn dự án đầu tư xây dựng có thời gian hoàn vốn ngắn
để:
a. Giảm rủi ro
b. Giảm ứ đọng vốn
c. Tăng tốc độ luân chuyển vốn
d. Tất cả các ý trên",D 
77,"Lựa chọn câu đúng nhất đối với các đáp án dưới đây - Dự án đầu tư xây dựng
có độ nhạy cao là:
a. Dự án có độ rủi ro cao.
b. Dự án có các chỉ tiêu hiệu quả thay đổi nhiều khi các yếu tố liên quan đến
chúng thay đổi.
c. Dự án có các yếu tố đầu vào dễ thay đổi.
d. Dự án có các yếu tố đầu vào ít thay đổi.",B 
78,"Vai trò của đầu tư xây dựng là:
a. Thúc đẩy tăng trưởng kinh tế
b. Tăng cường khả năng công nghệ của đất nước
c. Tác động chuyển dịch cơ cấu kinh tế
d. Tất cả các ý trên",D 
79,"Dự án đầu tư xây dựng là một tập hồ sơ tài liệu trình bày một cách chi tiết một
hoạt động đầu tư nhằm:
a. Đạt được mục tiêu của chủ đầu tư
b. Đạt mục tiêu lợi nhuận
c. Tránh lãng phí
d. Tránh đầu tư dàn trải",A 
80,"Hồ sơ dự án đầu tư xây dựng là do ai lập:
a. Chủ đầu tư hoặc tư vấn do Chủ đầu tư thuê lập
b. Nhà thầu thi công xây dựng lập
c. Cơ quan cho vay vốn lập
d. Người có thẩm quyền quyết định đầu tư lập",A 
81,"Chủ nhiệm lập dự án phải là người:
a. Có trình độ quản lý tốt
b. Có trình độ tổng hợp về kinh tế - kỹ thuật
c. Có kinh nghiệm lập dự án, có uy tín và đạo đức nghề nghiệp
d. Tất cả các ý trên",D 
82,"Trong phân tích tài chính dự án đầu tư các dòng thu chi phải xét đến giá trị thời
gian của tiền là vì:
a. Do tiền có giá trị thời gian
b. Thời gian xây dựng và khai thác dài
c. Các khoản thu, chi của dự án phát sinh tại các thời điểm khác nhau
d. Tất cả các ý trên",D 
83,"Suất thu lời nội tại IRR là lãi suất mà nếu dùng nó làm suất chiết khấu thì:
a. NPV>0
b. NPV=0
c. NPV<0
d. Không liên quan đến NPV",B 
84,"Suất thu lời nội tại IRR là:
a. Khả năng cho lãi của dự án
b. Suất chiết khấu của dự án
c. Chi phí sử dụng vốn của dự án
d. Không câu nào đúng",A 
85,"Phân tích tài chính là việc đánh giá dự án trên góc độ của:
a. Chủ đầu tư
b. Nhà thầu
c. Nhà nước
d. Tổ chức cho vay vốn",A 
86,"Phân tích kinh tế - xã hội được tiến hành đứng trên góc độ lợi ích của:
a. Chủ đầu tư
b. Toàn bộ nền kinh tế
c. Tổ chức cho vay vốn
d. Tổ chức tài trợ",B 
87,"Các dự án đầu tư xây dựng phải được quan tâm đến yêu cầu nào?
a. Thẩm định cả về phương diện hiệu quả tài chính và hiệu quả kinh tế - xã hội
b. Đối với các dự án do doanh nghiệp đầu tư thì chỉ cần quan tâm đến hiệu quả
tài chính
c. Đối với các dự án do Nhà nước đầu tư thì chỉ cần quan tâm đến hiệu quả
kinh tế - xã hội
d. Không câu nào đúng",A 
88,"Mức độ chính xác của giá sản phẩm xây dựng phụ thuộc vào:
a. Mức độ chi tiết, chính xác của thiết kế
b. Mức độ chính xác của giá cả các yếu tố đầu vào
c. Năng lực của các kỹ sư
d. Tất cả các ý trên",D 
89,"Mục đích của việc kiểm soát chi phí là:
a. Đảm bảo cho chi phí hiện tại không được vượt quá tầm kiểm soát.
b. Đảm bảo cho các chi phí trong tương lai không được vượt quá tầm kiểm
soát.
c. Cả ý a và b
d. Đảm bảo chi phí thực hiện đúng như với ngân sách đã lập ra ban đầu.",C 
90,"Định mức dự toán xây dựng công trình gồm:
a. Thành phần công việc và định mức các thành phần hao phí
b. Thành phần công việc và phương pháp tính toán
c. Định mức các thành phần hao phí và phương pháp tính toán
d. Định mức các thành phần hao phí, phương pháp tính toán và thành phần
công việc",A 
91,"Để dự án đầu tư xây dựng đạt hiệu quả cao thì cân phải quản lý tốt các khâu
nào?
a. Quản lý chất lượng xây dựng, an toàn trong quá trình thi công xây dựng
b. Quản lý chi phí từ khâu lập, thẩm định, phê duyệt dự án; lập, thẩm định, phê
duyệt thiết kế, dự toán
c. Quản lý tiến độ thi công xây dựng
d. Quản lý tất cả các khâu nêu tại Điểm a, b, c",D 
92,"Quy trình lựa chọn nhà thầu đối với đấu thầu rộng rãi, đấu thầu hạn chế được
thực hiện như thế nào?
a. Chuẩn bị lựa chọn nhà thầu
b. Tổ chức lựa chọn nhà thầu;
c. Đánh giá hồ sơ dự thầu, đàm phán và thương thảo ký kết hợp đồng;
d. Bao gồm cả a, b và c",D 
93,"Việc thương thảo hợp đồng xây dựng phải dựa trên cơ sở nào sau đây?
a. Báo cáo đánh giá hồ sơ dự thầu của tổ chuyên gia;
b. Mẫu hợp đồng đã điền đầy đủ các thông tin cụ thể của gói thầu;
c. Các yêu cầu nêu trong hồ sơ mời thầu; Hồ sơ dự thầu và các tài liệu giải
thích làm rõ hồ sơ dự thầu của nhà thầu (nếu có)
d. Tất cả các cơ sở nêu tại Điểm a, b, c",D 
94,"Thương thảo hợp đồng xây dựng gồm những nội dung gì?
a. Nhiệm vụ và phạm vi công việc chi tiết của nhà thầu tư vấn;
b. Kế hoạch công tác và bố trí nhân sự;
c. Tiến độ thực hiện gói thầu
d. Tất cả các nội dung nêu tại Điểm a, b, c",D 
